window_236--NPDC045608: Wrote 30 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_120--NPDC004732: Wrote 45 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_9--GCA_036227125.1: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 4 pseudogenes
window_359--NPDC005853: Wrote 15 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_254--GCA_014203475.1: Wrote 55 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_332--NPDC053390: Wrote 34 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_86--NPDC000785: Wrote 38 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_601--NPDC045376: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_389--NPDC053753: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_571--GCA_008042075.1: Wrote 29 protein sequences | Skipped 0 with no translation | Skipped 6 pseudogenes
window_484--GCA_030490905.1: Wrote 44 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_438--NPDC023046: Wrote 62 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_352--NPDC049867: Wrote 64 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_815--NPDC057833: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_296--GCA_022698305.1: Wrote 44 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_343--GCA_039524935.1: Wrote 36 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_430--NPDC057836: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_510--GCA_014656295.1: Wrote 26 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_68--NPDC050504: Wrote 50 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_237--NPDC001922: Wrote 51 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_377--NPDC002055: Wrote 48 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_106--GCA_900110755.1: Wrote 48 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_225--NPDC025244: Wrote 33 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_496--NPDC018347: Wrote 32 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_512--NPDC051636: Wrote 50 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_748--GCA_002556545.1: Wrote 49 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_534--NPDC031945: Wrote 44 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_535--NPDC024387: Wrote 37 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_502--NPDC012751: Wrote 40 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_455--NPDC057837: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_742--NPDC057838: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_584--NPDC021736: Wrote 52 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_798--NPDC024139: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_338--NPDC023457: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_807--GCA_003933965.1: Wrote 17 protein sequences | Skipped 0 with no translation | Skipped 1 pseudogenes
window_747--NPDC021432: Wrote 48 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_320--NPDC004259: Wrote 48 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_644--NPDC021450: Wrote 56 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_823--GCA_000590515.1: Wrote 22 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_128--NPDC015242: Wrote 53 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_734--NPDC020840: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_781--GCA_044326795.1: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 3 pseudogenes
window_324--NPDC006537: Wrote 62 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_538--NPDC021725: Wrote 53 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_202--NPDC001789: Wrote 32 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_126--GCA_014649235.1: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_36--NPDC057840: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_448--NPDC007050: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_591--GCA_006088715.1: Wrote 57 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
