Gene Names,ctg64_10|[14607:15786](+)|window_268--NPDC025403,ctg64_11|[15878:16415](-)|window_268--NPDC025403,ctg64_12|[16476:17673](-)|window_268--NPDC025403,ctg64_13|[17927:19184](+)|window_268--NPDC025403,ctg64_14|[19260:20607](-)|window_268--NPDC025403,ctg64_15|[20625:21996](-)|window_268--NPDC025403,ctg64_16|[21999:22263](+)|window_268--NPDC025403,ctg64_17|[22175:24548](-)|window_268--NPDC025403,ctg64_18|[24547:24685](-)|window_268--NPDC025403,ctg64_19|[24681:24984](-)|window_268--NPDC025403,ctg64_1|[2:3251](+)|window_268--NPDC025403,ctg64_20|[25229:25862](-)|window_268--NPDC025403,ctg64_21|[26031:26520](-)|window_268--NPDC025403,ctg64_22|[26761:26932](+)|window_268--NPDC025403,ctg64_23|[27165:28032](+)|window_268--NPDC025403,ctg64_24|[28031:28880](+)|window_268--NPDC025403,ctg64_25|[28881:29298](+)|window_268--NPDC025403,ctg64_26|[29315:29555](+)|window_268--NPDC025403,ctg64_27|[29576:30404](+)|window_268--NPDC025403,ctg64_28|[30413:31364](+)|window_268--NPDC025403,ctg64_29|[31360:32770](+)|window_268--NPDC025403,ctg64_2|[3247:5500](+)|window_268--NPDC025403,ctg64_30|[32766:34047](+)|window_268--NPDC025403,ctg64_31|[34078:34339](+)|window_268--NPDC025403,ctg64_32|[34351:35185](+)|window_268--NPDC025403,ctg64_33|[35181:35790](+)|window_268--NPDC025403,ctg64_34|[35782:36946](+)|window_268--NPDC025403,ctg64_35|[36991:37399](+)|window_268--NPDC025403,ctg64_36|[37698:38682](+)|window_268--NPDC025403,ctg64_37|[38842:39922](-)|window_268--NPDC025403,ctg64_38|[39949:40708](-)|window_268--NPDC025403,ctg64_39|[40709:41462](-)|window_268--NPDC025403,ctg64_3|[5499:6663](+)|window_268--NPDC025403,ctg64_4|[6819:8079](-)|window_268--NPDC025403,ctg64_5|[8207:8747](-)|window_268--NPDC025403,ctg64_6|[9190:10816](+)|window_268--NPDC025403,ctg64_7|[10817:12326](+)|window_268--NPDC025403,ctg64_8|[12386:13337](+)|window_268--NPDC025403,ctg64_9|[13333:14308](+)|window_268--NPDC025403
window_385--GCA_014654785.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_389--NPDC053753,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_423--NPDC052115,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_430--NPDC057836,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_438--NPDC023046,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_439--NPDC041068,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_448--NPDC007050,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_455--NPDC057837,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_484--GCA_030490905.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_495--GCA_044326755.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_496--NPDC018347,1,1,2,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1
window_50--NPDC052114,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_502--NPDC012751,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1
window_510--GCA_014656295.1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
window_512--NPDC051636,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_533--NPDC007986,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_534--NPDC031945,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_535--NPDC024387,1,1,2,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1
window_538--NPDC021725,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_571--GCA_008042075.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_584--NPDC021736,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_591--GCA_006088715.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_601--NPDC045376,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_64--NPDC045938,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_644--NPDC021450,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
window_653--NPDC059887,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_657--NPDC053751,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_68--NPDC050504,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_680--GCA_014650495.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_690--NPDC020656,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_720--NPDC032246,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_734--NPDC020840,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_738--GCA_008704795.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_741--GCA_044326745.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_742--NPDC057838,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_747--NPDC021432,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_748--GCA_002556545.1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_757--NPDC003691,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_781--GCA_044326795.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_790--NPDC053754,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_798--NPDC024139,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_807--GCA_003933965.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_815--NPDC057833,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_823--GCA_000590515.1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_86--NPDC000785,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_9--GCA_036227125.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
