Gene Names,ctg8_123|[1818:3297](-)|window_455--NPDC057837,ctg8_124|[3627:4632](-)|window_455--NPDC057837,ctg8_125|[4633:4801](-)|window_455--NPDC057837,ctg8_126|[5135:8939](+)|window_455--NPDC057837,ctg8_127|[8984:9929](-)|window_455--NPDC057837,ctg8_128|[9921:10539](-)|window_455--NPDC057837,ctg8_129|[10635:11007](+)|window_455--NPDC057837,ctg8_130|[11480:12686](-)|window_455--NPDC057837,ctg8_131|[12685:13252](-)|window_455--NPDC057837,ctg8_132|[13248:14325](-)|window_455--NPDC057837,ctg8_133|[15017:16610](+)|window_455--NPDC057837,ctg8_134|[16717:17944](-)|window_455--NPDC057837,ctg8_135|[17940:18228](-)|window_455--NPDC057837,ctg8_136|[18414:19650](+)|window_455--NPDC057837,ctg8_137|[19646:21773](+)|window_455--NPDC057837,ctg8_138|[21890:22478](+)|window_455--NPDC057837,ctg8_139|[22474:22849](+)|window_455--NPDC057837,ctg8_140|[23518:25882](+)|window_455--NPDC057837,ctg8_141|[26120:27467](+)|window_455--NPDC057837,ctg8_142|[27447:28470](+)|window_455--NPDC057837,ctg8_143|[28506:29709](-)|window_455--NPDC057837,ctg8_144|[30000:31716](+)|window_455--NPDC057837,ctg8_145|[31718:33242](+)|window_455--NPDC057837,ctg8_146|[33333:34296](+)|window_455--NPDC057837,ctg8_147|[34292:35267](+)|window_455--NPDC057837,ctg8_148|[35404:36589](+)|window_455--NPDC057837,ctg8_149|[36665:37310](-)|window_455--NPDC057837,ctg8_150|[37391:38609](-)|window_455--NPDC057837,ctg8_151|[38646:39915](-)|window_455--NPDC057837,ctg8_152|[40081:41032](-)|window_455--NPDC057837,ctg8_153|[41523:41721](+)|window_455--NPDC057837,ctg8_154|[41820:43206](-)|window_455--NPDC057837,ctg8_155|[43664:44249](+)|window_455--NPDC057837,ctg8_156|[44288:44813](-)|window_455--NPDC057837,ctg8_157|[44827:45844](-)|window_455--NPDC057837,ctg8_158|[45840:46812](-)|window_455--NPDC057837,ctg8_159|[46808:49505](-)|window_455--NPDC057837,ctg8_160|[49513:50158](-)|window_455--NPDC057837,ctg8_161|[50260:51043](-)|window_455--NPDC057837,ctg8_162|[51237:51999](+)|window_455--NPDC057837,ctg8_163|[52590:53073](+)|window_455--NPDC057837,ctg8_164|[53117:55055](+)|window_455--NPDC057837,ctg8_165|[55210:57487](+)|window_455--NPDC057837,ctg8_166|[57860:59279](+)|window_455--NPDC057837,ctg8_167|[59339:60599](+)|window_455--NPDC057837,ctg8_168|[60613:61489](+)|window_455--NPDC057837,ctg8_169|[61536:62535](-)|window_455--NPDC057837
window_510--GCA_014656295.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_512--NPDC051636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_534--NPDC031945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_535--NPDC024387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_584--NPDC021736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
window_64--NPDC045938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_644--NPDC021450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_657--NPDC053751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_680--GCA_014650495.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_720--NPDC032246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
window_734--NPDC020840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
window_742--NPDC057838,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_747--NPDC021432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_757--NPDC003691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
window_790--NPDC053754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
window_807--GCA_003933965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_823--GCA_000590515.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_9--GCA_036227125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
