Gene Names,ctg15_10|[14875:16054](+)|window_496--NPDC018347,ctg15_11|[16146:16680](-)|window_496--NPDC018347,ctg15_12|[16744:17941](-)|window_496--NPDC018347,ctg15_13|[18195:19452](+)|window_496--NPDC018347,ctg15_14|[19528:20851](-)|window_496--NPDC018347,ctg15_15|[20891:22262](-)|window_496--NPDC018347,ctg15_16|[22441:24721](-)|window_496--NPDC018347,ctg15_17|[24963:25251](-)|window_496--NPDC018347,ctg15_18|[25497:26130](-)|window_496--NPDC018347,ctg15_19|[26297:26786](-)|window_496--NPDC018347,ctg15_1|[0:3507](+)|window_496--NPDC018347,ctg15_20|[27614:28532](+)|window_496--NPDC018347,ctg15_21|[28498:28759](+)|window_496--NPDC018347,ctg15_22|[28773:30000](-)|window_496--NPDC018347,ctg15_23|[30158:31094](+)|window_496--NPDC018347,ctg15_24|[31137:32076](-)|window_496--NPDC018347,ctg15_25|[32472:32934](-)|window_496--NPDC018347,ctg15_26|[33051:34002](-)|window_496--NPDC018347,ctg15_27|[34113:34422](-)|window_496--NPDC018347,ctg15_28|[34982:37109](+)|window_496--NPDC018347,ctg15_29|[37124:38168](-)|window_496--NPDC018347,ctg15_2|[3503:5756](+)|window_496--NPDC018347,ctg15_30|[38636:39728](+)|window_496--NPDC018347,ctg15_31|[39794:40604](+)|window_496--NPDC018347,ctg15_32|[40665:41904](+)|window_496--NPDC018347,ctg15_3|[5755:6919](+)|window_496--NPDC018347,ctg15_4|[7074:8214](-)|window_496--NPDC018347,ctg15_5|[8476:8989](-)|window_496--NPDC018347,ctg15_6|[9372:11085](+)|window_496--NPDC018347,ctg15_7|[11086:12595](+)|window_496--NPDC018347,ctg15_8|[12655:13606](+)|window_496--NPDC018347,ctg15_9|[13602:14577](+)|window_496--NPDC018347
window_385--GCA_014654785.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_389--NPDC053753,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_423--NPDC052115,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_430--NPDC057836,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_438--NPDC023046,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_439--NPDC041068,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_448--NPDC007050,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_455--NPDC057837,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_484--GCA_030490905.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_495--GCA_044326755.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_496--NPDC018347,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
window_50--NPDC052114,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_502--NPDC012751,1,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1
window_510--GCA_014656295.1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
window_512--NPDC051636,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_533--NPDC007986,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_534--NPDC031945,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_535--NPDC024387,1,1,2,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1
window_538--NPDC021725,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_571--GCA_008042075.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_584--NPDC021736,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_591--GCA_006088715.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_601--NPDC045376,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_64--NPDC045938,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_644--NPDC021450,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
window_653--NPDC059887,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_657--NPDC053751,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_68--NPDC050504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_680--GCA_014650495.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_690--NPDC020656,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_720--NPDC032246,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_734--NPDC020840,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_738--GCA_008704795.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_741--GCA_044326745.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_742--NPDC057838,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_747--NPDC021432,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_748--GCA_002556545.1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_757--NPDC003691,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_781--GCA_044326795.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_790--NPDC053754,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_798--NPDC024139,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_807--GCA_003933965.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_815--NPDC057833,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_823--GCA_000590515.1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_86--NPDC000785,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_9--GCA_036227125.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
