Gene Names,GCM10010507_18110|[13179:13710](+)|window_680--GCA_014650495.1,GCM10010507_18120|[13789:14626](+)|window_680--GCA_014650495.1,GCM10010507_18130|[14659:15607](+)|window_680--GCA_014650495.1,GCM10010507_18140|[15603:16401](+)|window_680--GCA_014650495.1,GCM10010507_18150|[16457:17666](+)|window_680--GCA_014650495.1,GCM10010507_18160|[17882:19598](+)|window_680--GCA_014650495.1,GCM10010507_18170|[19600:21139](+)|window_680--GCA_014650495.1,GCM10010507_18180|[21197:22148](+)|window_680--GCA_014650495.1,GCM10010507_18190|[22144:23119](+)|window_680--GCA_014650495.1,GCM10010507_18200|[23265:24408](+)|window_680--GCA_014650495.1,GCM10010507_18210|[24437:25400](-)|window_680--GCA_014650495.1,GCM10010507_18220|[25443:26583](-)|window_680--GCA_014650495.1,GCM10010507_18230|[26628:27633](-)|window_680--GCA_014650495.1,GCM10010507_18240|[27684:28329](-)|window_680--GCA_014650495.1,GCM10010507_18250|[28337:29711](-)|window_680--GCA_014650495.1,GCM10010507_18260|[29851:32020](-)|window_680--GCA_014650495.1,GCM10010507_18270|[32387:35783](+)|window_680--GCA_014650495.1,GCM10010507_18280|[35855:38126](-)|window_680--GCA_014650495.1,GCM10010507_18290|[38223:38454](-)|window_680--GCA_014650495.1,GCM10010507_18300|[38614:39556](+)|window_680--GCA_014650495.1,GCM10010507_18310|[39605:40496](-)|window_680--GCA_014650495.1,GCM10010507_18320|[40492:41449](-)|window_680--GCA_014650495.1,GCM10010507_18330|[41551:41860](-)|window_680--GCA_014650495.1,GCM10010507_18340|[41795:43220](+)|window_680--GCA_014650495.1,GCM10010507_18350|[43310:44222](+)|window_680--GCA_014650495.1,GCM10010507_18360|[44218:44818](-)|window_680--GCA_014650495.1,GCM10010507_18370|[44875:45616](-)|window_680--GCA_014650495.1,GCM10010507_18380|[45831:46206](-)|window_680--GCA_014650495.1,GCM10010507_18390|[46500:46968](+)|window_680--GCA_014650495.1,GCM10010507_18400|[47152:47980](+)|window_680--GCA_014650495.1
window_324--NPDC006537,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_330--NPDC006439,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_359--NPDC005853,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_377--NPDC002055,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_385--GCA_014654785.1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
window_389--NPDC053753,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_448--NPDC007050,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_496--NPDC018347,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_502--NPDC012751,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_510--GCA_014656295.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_512--NPDC051636,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_534--NPDC031945,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_535--NPDC024387,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_584--NPDC021736,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_644--NPDC021450,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_657--NPDC053751,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_680--GCA_014650495.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_690--NPDC020656,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_720--NPDC032246,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_734--NPDC020840,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_757--NPDC003691,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_790--NPDC053754,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833,0,0,0,0,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_823--GCA_000590515.1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_9--GCA_036227125.1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
