,Z951_34585|[554:2270](+)|window_823--GCA_000590515.1.gbff,Z951_34590|[2272:3784](+)|window_823--GCA_000590515.1.gbff,Z951_34595|[3839:4790](+)|window_823--GCA_000590515.1.gbff,Z951_34600|[4786:5761](+)|window_823--GCA_000590515.1.gbff,Z951_34605|[5934:7116](+)|window_823--GCA_000590515.1.gbff,Z951_34610|[7364:7598](-)|window_823--GCA_000590515.1.gbff,Z951_34615|[7594:7783](-)|window_823--GCA_000590515.1.gbff,Z951_34625|[9495:10653](+)|window_823--GCA_000590515.1.gbff,Z951_34630|[10683:13734](-)|window_823--GCA_000590515.1.gbff,Z951_34635|[14222:14498](-)|window_823--GCA_000590515.1.gbff,Z951_34640|[15729:16134](+)|window_823--GCA_000590515.1.gbff,Z951_34645|[16098:16527](-)|window_823--GCA_000590515.1.gbff,Z951_34650|[16523:16934](-)|window_823--GCA_000590515.1.gbff,Z951_34655|[17086:19720](-)|window_823--GCA_000590515.1.gbff,Z951_34660|[20123:20399](-)|window_823--GCA_000590515.1.gbff,Z951_34675|[22373:22673](+)|window_823--GCA_000590515.1.gbff,Z951_34680|[22790:23927](+)|window_823--GCA_000590515.1.gbff,Z951_34685|[23956:24586](-)|window_823--GCA_000590515.1.gbff,Z951_34690|[24656:25526](+)|window_823--GCA_000590515.1.gbff,Z951_34700|[26919:28827](+)|window_823--GCA_000590515.1.gbff,Z951_34705|[29266:31399](+)|window_823--GCA_000590515.1.gbff,Z951_34710|[31592:33188](+)|window_823--GCA_000590515.1.gbff
window_237--NPDC001922.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_534--NPDC031945.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_657--NPDC053751.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_720--NPDC032246.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_330--NPDC006439.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_448--NPDC007050.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_533--NPDC007986.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_389--NPDC053753.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_790--NPDC053754.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_644--NPDC021450.gbff,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796.gbff,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_512--NPDC051636.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1.gbff,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1.gbff,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_757--NPDC003691.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_496--NPDC018347.gbff,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_535--NPDC024387.gbff,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_9--GCA_036227125.1.gbff,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_106--GCA_900110755.1.gbff,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_510--GCA_014656295.1.gbff,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_385--GCA_014654785.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_502--NPDC012751.gbff,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403.gbff,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
