Gene Names,ctg103_10|[10711:12088](-)|window_332--NPDC053390,ctg103_11|[12259:13975](-)|window_332--NPDC053390,ctg103_12|[14132:14654](+)|window_332--NPDC053390,ctg103_13|[15153:15606](-)|window_332--NPDC053390,ctg103_14|[15942:16698](+)|window_332--NPDC053390,ctg103_15|[16784:17672](-)|window_332--NPDC053390,ctg103_16|[17686:17860](-)|window_332--NPDC053390,ctg103_17|[17844:18150](-)|window_332--NPDC053390,ctg103_18|[18188:18908](+)|window_332--NPDC053390,ctg103_19|[19082:19310](+)|window_332--NPDC053390,ctg103_1|[128:821](-)|window_332--NPDC053390,ctg103_20|[19322:19667](+)|window_332--NPDC053390,ctg103_21|[19734:20103](-)|window_332--NPDC053390,ctg103_22|[20258:20852](-)|window_332--NPDC053390,ctg103_23|[20848:21211](-)|window_332--NPDC053390,ctg103_24|[21261:21927](-)|window_332--NPDC053390,ctg103_25|[21923:22781](-)|window_332--NPDC053390,ctg103_26|[22749:22971](-)|window_332--NPDC053390,ctg103_27|[23048:23780](-)|window_332--NPDC053390,ctg103_28|[23864:24599](-)|window_332--NPDC053390,ctg103_29|[24851:25295](+)|window_332--NPDC053390,ctg103_2|[1221:2937](+)|window_332--NPDC053390,ctg103_30|[25353:26250](-)|window_332--NPDC053390,ctg103_31|[26481:27873](-)|window_332--NPDC053390,ctg103_32|[27873:28311](+)|window_332--NPDC053390,ctg103_33|[28279:29074](+)|window_332--NPDC053390,ctg103_34|[29120:29396](+)|window_332--NPDC053390,ctg103_3|[2942:4466](+)|window_332--NPDC053390,ctg103_4|[4550:5501](+)|window_332--NPDC053390,ctg103_5|[5497:6472](+)|window_332--NPDC053390,ctg103_6|[6495:7767](+)|window_332--NPDC053390,ctg103_7|[7812:8952](-)|window_332--NPDC053390,ctg103_8|[8991:9996](-)|window_332--NPDC053390,ctg103_9|[10040:10685](-)|window_332--NPDC053390
window_495--GCA_044326755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_496--NPDC018347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
window_50--NPDC052114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_502--NPDC012751,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
window_510--GCA_014656295.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
window_512--NPDC051636,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_533--NPDC007986,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_534--NPDC031945,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_535--NPDC024387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
window_538--NPDC021725,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1
window_571--GCA_008042075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
window_584--NPDC021736,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1
window_591--GCA_006088715.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_601--NPDC045376,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_64--NPDC045938,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_644--NPDC021450,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
window_653--NPDC059887,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_657--NPDC053751,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
window_68--NPDC050504,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_680--GCA_014650495.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_690--NPDC020656,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_720--NPDC032246,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_734--NPDC020840,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_738--GCA_008704795.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_741--GCA_044326745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_742--NPDC057838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_747--NPDC021432,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_748--GCA_002556545.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_757--NPDC003691,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_781--GCA_044326795.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_790--NPDC053754,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_798--NPDC024139,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_807--GCA_003933965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_815--NPDC057833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_823--GCA_000590515.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0
window_86--NPDC000785,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_9--GCA_036227125.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
